id,cdocente,ccurso,prioridad,sw_cambio,curso_id,user_id,created_at,updated_at
472,"001676","100049",5,F,1120,121,10/04/2016 01:00:55,10/04/2016 01:00:55
473,"001008","100188",11,F,279,95,10/04/2016 01:00:55,10/04/2016 01:00:55
474,"001008","100048",21,F,283,95,10/04/2016 01:00:55,10/04/2016 01:00:55
475,"001523","100204",3,F,849,22,10/04/2016 01:00:55,10/04/2016 01:00:55
476,"000620","100204",5,F,849,82,10/04/2016 01:00:55,10/04/2016 01:00:55
477,"001745","100184",16,F,271,66,10/04/2016 01:00:55,10/04/2016 01:00:55
478,"001746","140066",16,F,1825,55,10/04/2016 01:00:55,10/04/2016 01:00:55
479,"001908","110069",19,F,281,37,10/04/2016 01:00:55,10/04/2016 01:00:55
480,"001907","100206",13,F,844,38,10/04/2016 01:00:55,10/04/2016 01:00:55
481,"001907","100047",13,F,236,38,10/04/2016 01:00:55,10/04/2016 01:00:55
482,"001907","100183",4,F,1705,38,10/04/2016 01:00:55,10/04/2016 01:00:55
483,"001433","100207",9,F,1253,100,10/04/2016 01:00:55,10/04/2016 01:00:55
484,"001433","100164",3,F,1106,100,10/04/2016 01:00:55,10/04/2016 01:00:55
485,"001433","100174",6,F,1262,100,10/04/2016 01:00:55,10/04/2016 01:00:55
486,"001751","100068",8,F,780,107,10/04/2016 01:00:55,10/04/2016 01:00:55
487,"001456","140051",16,F,526,72,10/04/2016 01:00:55,10/04/2016 01:00:55
488,"000645","100048",13,F,283,131,10/04/2016 01:00:55,10/04/2016 01:00:55
489,"000645","140067",2,F,39,131,10/04/2016 01:00:55,10/04/2016 01:00:55
490,"000645","100194",6,F,75,131,10/04/2016 01:00:55,10/04/2016 01:00:55
491,"000645","110053",1,F,717,131,10/04/2016 01:00:55,10/04/2016 01:00:55
492,"000645","110072",3,F,771,131,10/04/2016 01:00:55,10/04/2016 01:00:55
493,"000645","110047",12,F,310,131,10/04/2016 01:00:55,10/04/2016 01:00:55
494,"000645","100199",7,F,1469,131,10/04/2016 01:00:55,10/04/2016 01:00:55
495,"000728","100166",1,F,1700,34,10/04/2016 01:00:55,10/04/2016 01:00:55
496,"000728","100170",5,F,831,34,10/04/2016 01:00:55,10/04/2016 01:00:55
497,"000728","100199",4,F,1469,34,10/04/2016 01:00:55,10/04/2016 01:00:55
498,"000728","100206",4,F,844,34,10/04/2016 01:00:55,10/04/2016 01:00:55
499,"000728","100047",3,F,236,34,10/04/2016 01:00:55,10/04/2016 01:00:55
500,"000728","100167",10,F,1832,34,10/04/2016 01:00:55,10/04/2016 01:00:55
501,"000728","100162",8,F,51,34,10/04/2016 01:00:55,10/04/2016 01:00:55
502,"000728","100202",1,F,810,34,10/04/2016 01:00:55,10/04/2016 01:00:55
503,"000728","110016",4,F,471,34,10/04/2016 01:00:55,10/04/2016 01:00:55
504,"000728","100200",2,F,1602,34,10/04/2016 01:00:55,10/04/2016 01:00:55
505,"000728","100198",3,F,1450,34,10/04/2016 01:00:55,10/04/2016 01:00:55
506,"000728","110075",4,F,1752,34,10/04/2016 01:00:55,10/04/2016 01:00:55
507,"000728","100090",9,F,49,34,10/04/2016 01:00:55,10/04/2016 01:00:55
508,"000728","100163",5,F,29,34,10/04/2016 01:00:55,10/04/2016 01:00:55
509,"000728","100201",19,F,1754,34,10/04/2016 01:00:55,10/04/2016 01:00:55
510,"000508","100170",6,F,831,14,10/04/2016 01:00:55,10/04/2016 01:00:55
511,"000508","100159",2,F,1094,14,10/04/2016 01:00:55,10/04/2016 01:00:55
512,"000508","100167",11,F,1832,14,10/04/2016 01:00:55,10/04/2016 01:00:55
513,"000810","110053",4,F,717,122,10/04/2016 01:00:55,10/04/2016 01:00:55
514,"000810","100182",3,F,1310,122,10/04/2016 01:00:55,10/04/2016 01:00:55
515,"000810","140067",5,F,39,122,10/04/2016 01:00:55,10/04/2016 01:00:55
516,"000810","140064",4,F,1277,122,10/04/2016 01:00:55,10/04/2016 01:00:55
517,"000810","110072",8,F,771,122,10/04/2016 01:00:55,10/04/2016 01:00:55
518,"000810","100202",5,F,810,122,10/04/2016 01:00:55,10/04/2016 01:00:55
519,"000810","110075",3,F,1752,122,10/04/2016 01:00:55,10/04/2016 01:00:55
520,"000810","100201",4,F,1754,122,10/04/2016 01:00:55,10/04/2016 01:00:55
521,"000810","100194",9,F,75,122,10/04/2016 01:00:55,10/04/2016 01:00:55
522,"000810","100198",8,F,1450,122,10/04/2016 01:00:55,10/04/2016 01:00:55
523,"001030","100159",6,F,1094,62,10/04/2016 01:00:55,10/04/2016 01:00:55
524,"001030","100090",4,F,49,62,10/04/2016 01:00:55,10/04/2016 01:00:55
525,"001030","100199",9,F,1469,62,10/04/2016 01:00:55,10/04/2016 01:00:55
526,"001030","100206",7,F,844,62,10/04/2016 01:00:55,10/04/2016 01:00:55
527,"001030","100207",4,F,1253,62,10/04/2016 01:00:55,10/04/2016 01:00:55
528,"001030","132053",5,F,1254,62,10/04/2016 01:00:55,10/04/2016 01:00:55
529,"001030","100162",6,F,51,62,10/04/2016 01:00:55,10/04/2016 01:00:55
530,"001030","100070",4,F,836,62,10/04/2016 01:00:55,10/04/2016 01:00:55
531,"001030","100173",1,F,683,62,10/04/2016 01:00:55,10/04/2016 01:00:55
532,"001030","100168",9,F,469,62,10/04/2016 01:00:55,10/04/2016 01:00:55
533,"001030","100047",7,F,236,62,10/04/2016 01:00:55,10/04/2016 01:00:55
534,"001030","100201",17,F,1754,62,10/04/2016 01:00:55,10/04/2016 01:00:55
535,"000812","110019",3,F,232,61,10/04/2016 01:00:55,10/04/2016 01:00:55
536,"000812","100174",1,F,1262,61,10/04/2016 01:00:55,10/04/2016 01:00:55
537,"001425","240001",13,F,88,30,10/04/2016 01:00:55,10/04/2016 01:00:55
538,"001425","240006",13,F,1282,30,10/04/2016 01:00:55,10/04/2016 01:00:55
539,"000242","110053",3,F,717,111,10/04/2016 01:00:55,10/04/2016 01:00:55
540,"000242","100194",1,F,75,111,10/04/2016 01:00:55,10/04/2016 01:00:55
541,"000242","140064",12,F,1277,111,10/04/2016 01:00:55,10/04/2016 01:00:55
542,"000242","100171",2,F,157,111,10/04/2016 01:00:55,10/04/2016 01:00:55
543,"000242","140067",1,F,39,111,10/04/2016 01:00:55,10/04/2016 01:00:55
544,"000242","100198",1,F,1450,111,10/04/2016 01:00:55,10/04/2016 01:00:55
545,"000242","100199",6,F,1469,111,10/04/2016 01:00:55,10/04/2016 01:00:55
546,"000841","110016",7,F,471,58,10/04/2016 01:00:55,10/04/2016 01:00:55
547,"000841","100168",10,F,469,58,10/04/2016 01:00:55,10/04/2016 01:00:55
548,"000841","100200",3,F,1602,58,10/04/2016 01:00:55,10/04/2016 01:00:55
549,"000841","132053",3,F,1254,58,10/04/2016 01:00:55,10/04/2016 01:00:55
550,"000841","100162",2,F,51,58,10/04/2016 01:00:55,10/04/2016 01:00:55
551,"000841","100090",5,F,49,58,10/04/2016 01:00:55,10/04/2016 01:00:55
552,"000841","100159",4,F,1094,58,10/04/2016 01:00:55,10/04/2016 01:00:55
553,"000841","140067",8,F,39,58,10/04/2016 01:00:55,10/04/2016 01:00:55
554,"000841","100202",4,F,810,58,10/04/2016 01:00:55,10/04/2016 01:00:55
555,"000841","100101",1,F,866,58,10/04/2016 01:00:55,10/04/2016 01:00:55
556,"000841","100201",7,F,1754,58,10/04/2016 01:00:55,10/04/2016 01:00:55
557,"000841","100070",3,F,836,58,10/04/2016 01:00:55,10/04/2016 01:00:55
558,"000841","100198",5,F,1450,58,10/04/2016 01:00:55,10/04/2016 01:00:55
559,"000841","100047",9,F,236,58,10/04/2016 01:00:55,10/04/2016 01:00:55
560,"000841","100207",10,F,1253,58,10/04/2016 01:00:55,10/04/2016 01:00:55
561,"001916","140074",4,F,521,105,10/04/2016 01:00:55,10/04/2016 01:00:55
562,"001916","140076",5,F,524,105,10/04/2016 01:00:55,10/04/2016 01:00:55
563,"001916","140070",7,F,1236,105,10/04/2016 01:00:55,10/04/2016 01:00:55
564,"001916","140041",6,F,1354,105,10/04/2016 01:00:55,10/04/2016 01:00:55
565,"000449","140068",5,F,637,97,10/04/2016 01:00:55,10/04/2016 01:00:55
566,"000449","140041",3,F,1354,97,10/04/2016 01:00:55,10/04/2016 01:00:55
567,"000449","140074",3,F,521,97,10/04/2016 01:00:55,10/04/2016 01:00:55
568,"000449","140051",15,F,526,97,10/04/2016 01:00:55,10/04/2016 01:00:55
569,"001305","100188",1,F,279,6,10/04/2016 01:00:55,10/04/2016 01:00:55
570,"000195","100037",3,F,666,36,10/04/2016 01:00:55,10/04/2016 01:00:55
571,"000236","100159",18,F,1094,124,10/04/2016 01:00:55,10/04/2016 01:00:55
572,"000449","140076",6,F,524,97,10/04/2016 01:00:55,10/04/2016 01:00:55
573,"000743","110063",5,F,139,19,10/04/2016 01:00:55,10/04/2016 01:00:55
574,"001085","100174",7,F,1262,31,10/04/2016 01:00:55,10/04/2016 01:00:55
575,"001745","100048",22,F,283,66,10/04/2016 01:00:55,10/04/2016 01:00:55
576,"000449","140070",8,F,1236,97,10/04/2016 01:00:55,10/04/2016 01:00:55
577,"000236","110047",17,F,310,124,10/04/2016 01:00:55,10/04/2016 01:00:55
578,"000253","160004",1,F,630,79,10/04/2016 01:00:55,10/04/2016 01:00:55
579,"000842","160004",2,F,630,118,10/04/2016 01:00:55,10/04/2016 01:00:55
580,"000420","160004",3,F,630,27,10/04/2016 01:00:55,10/04/2016 01:00:55
581,"000622","160004",4,F,630,78,10/04/2016 01:00:55,10/04/2016 01:00:55
582,"000623","160004",5,F,630,49,10/04/2016 01:00:55,10/04/2016 01:00:55
583,"000398","160004",7,F,630,119,10/04/2016 01:00:55,10/04/2016 01:00:55
584,"001149","160004",8,F,630,112,10/04/2016 01:00:55,10/04/2016 01:00:55
585,"001264","160004",10,F,630,109,10/04/2016 01:00:55,10/04/2016 01:00:55
586,"001425","160004",12,F,630,30,10/04/2016 01:00:55,10/04/2016 01:00:55
587,"001763","160004",14,F,630,42,10/04/2016 01:00:55,10/04/2016 01:00:55
588,"000622","160013",1,F,625,78,10/04/2016 01:00:55,10/04/2016 01:00:55
589,"001763","160013",2,F,625,42,10/04/2016 01:00:55,10/04/2016 01:00:55
590,"000125","160001",1,F,621,87,10/04/2016 01:00:55,10/04/2016 01:00:55
591,"000842","160001",2,F,621,118,10/04/2016 01:00:55,10/04/2016 01:00:55
592,"000398","160001",3,F,621,119,10/04/2016 01:00:55,10/04/2016 01:00:55
593,"000253","160001",5,F,621,79,10/04/2016 01:00:55,10/04/2016 01:00:55
594,"000622","160001",6,F,621,78,10/04/2016 01:00:55,10/04/2016 01:00:55
595,"000420","160001",7,F,621,27,10/04/2016 01:00:55,10/04/2016 01:00:55
596,"001425","160001",9,F,621,30,10/04/2016 01:00:55,10/04/2016 01:00:55
597,"001763","160001",11,F,621,42,10/04/2016 01:00:55,10/04/2016 01:00:55
598,"001676","160001",12,F,621,121,10/04/2016 01:00:55,10/04/2016 01:00:55
599,"001149","100175",2,F,34,112,10/04/2016 01:00:55,10/04/2016 01:00:55
600,"000549","140080",1,F,1427,92,10/04/2016 01:00:55,10/04/2016 01:00:55
601,"000551","140080",2,F,1427,71,10/04/2016 01:00:55,10/04/2016 01:00:55
