id,csede,cdocente,d1_h10,d1_h11,d1_h12,d1_h13,d1_h21,d1_h22,d1_h31,d1_h32,d1_h33,d2_h10,d2_h11,d2_h12,d2_h13,d2_h21,d2_h22,d2_h31,d2_h32,d2_h33,d3_h10,d3_h11,d3_h12,d3_h13,d3_h21,d3_h22,d3_h31,d3_h32,d3_h33,d4_h10,d4_h11,d4_h12,d4_h13,d4_h21,d4_h22,d4_h31,d4_h32,d4_h33,d5_h10,d5_h11,d5_h12,d5_h13,d5_h21,d5_h22,d5_h31,d5_h32,d5_h33,d6_h10,d6_h11,d6_h12,d6_h13,d6_h21,d6_h22,d6_h31,d6_h32,d6_h33,sw_cambio,sede_id,user_id,created_at,updated_at
24,"LIM","000253",0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,F,1,79,08/10/2016 12:20:00,08/10/2016 12:20:00
25,"LIM","000474",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,F,1,56,08/10/2016 12:20:00,08/10/2016 12:20:00
26,"LIM","000125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,F,1,87,08/10/2016 12:20:00,08/10/2016 12:20:00
27,"LIM","000808",0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,1,54,08/10/2016 12:20:00,08/10/2016 12:20:00
28,"LIM","000730",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,1,91,08/10/2016 12:20:00,08/10/2016 12:20:00
29,"LIM","001457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,1,83,08/10/2016 12:20:00,08/10/2016 12:20:00
30,"LIM","000358",0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,1,23,08/10/2016 12:20:00,08/10/2016 12:20:00
31,"LIM","000986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,1,123,08/10/2016 12:20:00,08/10/2016 12:20:00
32,"LIM","000384",0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,F,1,75,08/10/2016 12:20:00,08/10/2016 12:20:00
33,"LIM","000277",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,1,126,08/10/2016 12:20:00,08/10/2016 12:20:00
